listing_id,title,model_family,generation_number,is_pro,storage_gb_numeric,storage_category,storage_options_gb,storage_flag_corrected,condition,condition_group,price,price_bucket,price_per_gb,wasPrice,price_discount_pct,has_discount,available,available_disclosed,sold,sold_disclosed,seller,itemLocation,us_state,lastUpdated,date_disclosed,is_bundle_listing,is_suspicious_price,location,iphone_type,generation_group,market_density,price_gap,top_seller_dominance
334,Apple iPhone 12 128GB Factory Unlocked Purple (Loose Charge Port) #23690,iPhone 12,12,False,128.0,128GB,128GB,False,Used,Second-hand,169.99,<$200,1.328046875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Standard,Mid-Gen (12-13),18,4428.01,45.073891625615765
335,Apple iPhone 14 256GB Factory Unlocked Black / Midnight (Scratches) #23567,iPhone 14,14,False,256.0,256GB,256GB,False,Used,Second-hand,249.99,$200-399,0.9765234375,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Standard,Modern (14+),27,1329.99,21.492537313432834
336,Apple iPhone 14 Pro Max Factory Unlocked Space Black 128GB #23528,iPhone 14 Pro Max,14,True,128.0,128GB,128GB,False,Used,Second-hand,419.99,$400-599,3.281171875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Pro,Modern (14+),30,2750.0,8.085106382978724
337,Apple iPhone 14 Pro Max Factory Unlocked Space Black 128GB (Camera Issue) #23617,iPhone 14 Pro Max,14,True,128.0,128GB,128GB,False,Used,Second-hand,379.99,$200-399,2.968671875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Pro,Modern (14+),30,2750.0,8.085106382978724
338,Apple iPhone 16 256GB Black - Unlocked AT&T T-Mobile Verizon 7631081,iPhone 16,16,False,256.0,256GB,256GB,False,Open Box,Like New,635.0,$600-899,2.48046875,849.99,25.29,True,0.0,False,0.0,False,Seller 184,"Orlando, Florida, United States",FL,,False,False,False,FL,Standard,Modern (14+),25,639.5,7.207207207207207
339,Apple iPhone 14 Pro Max 256GB Factory Unlocked Space Black #23238,iPhone 14 Pro Max,14,True,256.0,256GB,256GB,False,Used,Second-hand,429.99,$400-599,1.6796484375,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Pro,Modern (14+),30,2750.0,8.085106382978724
340,Apple iPhone 14 Factory Unlocked Black / Midnight 128GB #23608,iPhone 14,14,False,128.0,128GB,128GB,False,Used,Second-hand,259.99,$200-399,2.031171875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Standard,Modern (14+),27,1329.99,21.492537313432834
341,Apple iPhone 14 Pro Max Factory Unlocked Space Black 128GB #23620,iPhone 14 Pro Max,14,True,128.0,128GB,128GB,False,Used,Second-hand,429.99,$400-599,3.359296875,,,False,0.0,False,0.0,False,Seller 057,"Oviedo, Florida, United States",FL,,False,False,False,FL,Pro,Modern (14+),30,2750.0,8.085106382978724
342,Apple iPhone 17 - 512 GB - White (Unlocked),iPhone 17,17,False,512.0,512GB,512GB,False,New,Second-hand,459.0,$400-599,0.896484375,,,False,4.0,True,0.0,False,Seller 324,"Houston, Texas, United States",TX,,False,False,False,TX,Standard,Modern (14+),23,1000.99,7.857142857142857
343,Apple iPhone 17 Pro Max - 2 TB - Cosmic Orange (Unlocked),iPhone 17 Pro Max,17,True,2048.0,2048GB,2048GB,False,New,Second-hand,499.0,$400-599,0.24365234375,,,False,0.0,False,1.0,True,Seller 674,"O'Fallon, Missouri, United States",MO,,False,False,False,MO,Pro,Modern (14+),1,2710.0,8.176100628930817
